trial_type,onset
fix,170718.722506,170727.722506
audio,170734.756658,170734.722506
audio,170741.722537,170741.722506
audio,170748.722689,170748.722506
movie,170755.724755,170755.722506
movie,170762.723821,170762.722506
movie,170769.724545,170769.722506
movie,170776.724141,170776.722506
movie,170783.725066,170783.722506
movie,170790.724671,170790.722506
movie,170797.724893,170797.722506
movie,170804.724347,170804.722506
movie,170811.724153,170811.722506
movie,170818.724487,170818.722506
movie,170825.724974,170825.722506
movie,170832.724536,170832.722506
fix,170839.722710,170839.722506
movie,170855.829783,170855.722506
movie,170862.724949,170862.722506
movie,170869.724713,170869.722506
movie,170876.724709,170876.722506
movie,170883.724559,170883.722506
movie,170890.724248,170890.722506
movie,170897.724887,170897.722506
movie,170904.724095,170904.722506
movie,170911.724421,170911.722506
movie,170918.724832,170918.722506
movie,170925.724764,170925.722506
movie,170932.724637,170932.722506
audio,170939.723030,170939.722506
audio,170946.723126,170946.722506
audio,170953.722542,170953.722506
fix,170960.722564,170960.722506
