trial_type,onset
fix,87790.273385,87799.273385
movie,87806.334212,87806.273385
movie,87813.275820,87813.273385
movie,87820.276060,87820.273385
audio,87827.274177,87827.273385
audio,87834.273767,87834.273385
audio,87841.273573,87841.273385
movie,87848.276183,87848.273385
movie,87855.276008,87855.273385
movie,87862.275942,87862.273385
movie,87869.275609,87869.273385
movie,87876.275921,87876.273385
movie,87883.275235,87883.273385
movie,87890.276272,87890.273385
movie,87897.275527,87897.273385
movie,87904.275756,87904.273385
fix,87911.274015,87911.273385
movie,87927.336087,87927.273385
movie,87934.275465,87934.273385
movie,87941.275769,87941.273385
movie,87948.275488,87948.273385
movie,87955.275840,87955.273385
movie,87962.275551,87962.273385
movie,87969.275673,87969.273385
movie,87976.275646,87976.273385
movie,87983.275632,87983.273385
audio,87990.273497,87990.273385
audio,87997.273671,87997.273385
audio,88004.273714,88004.273385
movie,88011.276540,88011.273385
movie,88018.275099,88018.273385
movie,88025.276011,88025.273385
fix,88032.273995,88032.273385
