color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
orange,141_NG_VS_XX_10_NA.ogv,141,NG,VS,XX,10,NA,4,C,3
grey,101_NG_SV_XX_7_NA.ogv,101,NG,SV,XX,7,NA,4,C,3
red,76_NG_ST_XX_1_NA.ogv,76,NG,ST,XX,1,NA,4,C,3
orange,132_NG_VS_XX_1_NF.ogv,132,NG,VS,XX,1,NF,4,D,3
grey,112_NG_SV_XX_18_NF.ogv,112,NG,SV,XX,18,NF,4,D,3
green,52_NG_JH_XX_15_NF.ogv,52,NG,JH,XX,15,NF,4,D,3
grey,110_G_SV_Mother_4.ogg,110,G,SV,Mother,4,audio,4,E,3
green,55_G_JH_Princess_2.ogg,55,G,JH,Princess,2,audio,4,E,3
purple,70_G_MY_Hood_4.ogg,70,G,MY,Hood,4,audio,4,E,3
red,83_G_ST_Frog_4_NA.ogv,83,G,ST,Frog,4,NA,4,A,3
grey,108_G_SV_Mother_2_NA.ogv,108,G,SV,Mother,2,NA,4,A,3
orange,133_G_VS_Bee_2_NA.ogv,133,G,VS,Bee,2,NA,4,A,3
yellow,14_G_CG_Mother_2_NF.ogv,14,G,CG,Mother,2,NF,4,B,3
none,114_G_TK_Bee_1_NF.ogv,114,G,TK,Bee,1,NF,4,B,3
orange,139_G_VS_Frog_4_NF.ogv,139,G,VS,Frog,4,NF,4,B,3
purple,64_G_MY_Frog_3_NF.ogv,64,G,MY,Frog,3,NF,4,B,3
green,39_G_JH_Bee_2_NF.ogv,39,G,JH,Bee,2,NF,4,B,3
blue,29_G_DS_Hood_2_NF.ogv,29,G,DS,Hood,2,NF,4,B,3
blue,23_G_DS_Bee_4_NA.ogv,23,G,DS,Bee,4,NA,4,A,3
purple,63_G_MY_Frog_2_NA.ogv,63,G,MY,Frog,2,NA,4,A,3
green,53_G_JH_Mother_4_NA.ogv,53,G,JH,Mother,4,NA,4,A,3
blue,20_G_DS_Bee_1.ogg,20,G,DS,Bee,1,audio,4,E,3
none,120_G_TK_Frog_3.ogg,120,G,TK,Frog,3,audio,4,E,3
orange,140_G_VS_Hood_1.ogg,140,G,VS,Hood,1,audio,4,E,3
blue,27_NG_DS_XX_8_NF.ogv,27,NG,DS,XX,8,NF,4,D,3
red,92_NG_ST_XX_17_NF.ogv,92,NG,ST,XX,17,NF,4,D,3
yellow,17_NG_CG_XX_17_NF.ogv,17,NG,CG,XX,17,NF,4,D,3
green,51_NG_JH_XX_14_NA.ogv,51,NG,JH,XX,14,NA,4,C,3
yellow,01_NG_CG_XX_1_NA.ogv,1,NG,CG,XX,1,NA,4,C,3
none,121_NG_TK_XX_8_NA.ogv,121,NG,TK,XX,8,NA,4,C,3
