trial_type,onset
fix,63548.212385,63557.212385
movie,63565.702414,63564.212385
movie,63571.370816,63571.212385
movie,63578.215053,63578.212385
movie,63585.214771,63585.212385
movie,63592.214747,63592.212385
movie,63599.214719,63599.212385
movie,63606.214548,63606.212385
movie,63613.215007,63613.212385
movie,63620.214488,63620.212385
movie,63627.215355,63627.212385
movie,63634.214438,63634.212385
movie,63641.214505,63641.212385
audio,63648.213563,63648.212385
audio,63655.212770,63655.212385
audio,63662.212865,63662.212385
fix,63669.213037,63669.212385
audio,63685.239997,63685.212385
audio,63692.212501,63692.212385
audio,63699.212962,63699.212385
movie,63706.214855,63706.212385
movie,63713.215215,63713.212385
movie,63720.214905,63720.212385
movie,63727.214730,63727.212385
movie,63734.215167,63734.212385
movie,63741.214105,63741.212385
movie,63748.214799,63748.212385
movie,63755.214354,63755.212385
movie,63762.214748,63762.212385
movie,63769.214976,63769.212385
movie,63776.214568,63776.212385
movie,63783.214690,63783.212385
fix,63790.212745,63790.212385
