trial_type,onset
fix,85388.546628,85397.546628
movie,85404.797069,85404.546628
movie,85411.549183,85411.546628
movie,85418.548760,85418.546628
movie,85425.548984,85425.546628
movie,85432.548495,85432.546628
movie,85439.549543,85439.546628
movie,85446.549172,85446.546628
movie,85453.548950,85453.546628
movie,85460.548775,85460.546628
movie,85467.549043,85467.546628
movie,85474.549322,85474.546628
movie,85481.549086,85481.546628
audio,85488.547549,85488.546628
audio,85495.547095,85495.546628
audio,85502.546929,85502.546628
fix,85509.547625,85509.546628
audio,85525.577160,85525.546628
audio,85532.546824,85532.546628
audio,85539.546916,85539.546628
movie,85546.548452,85546.546628
movie,85553.548979,85553.546628
movie,85560.548956,85560.546628
movie,85567.548896,85567.546628
movie,85574.549218,85574.546628
movie,85581.549612,85581.546628
movie,85588.549069,85588.546628
movie,85595.548928,85595.546628
movie,85602.548890,85602.546628
movie,85609.548835,85609.546628
movie,85616.548443,85616.546628
movie,85623.549114,85623.546628
fix,85630.546874,85630.546628
