trial_type,onset
fix,162160.614792,162169.614792
movie,162177.872071,162176.614792
movie,162183.795032,162183.614792
movie,162190.617490,162190.614792
movie,162197.616895,162197.614792
movie,162204.616846,162204.614792
movie,162211.617069,162211.614792
movie,162218.617417,162218.614792
movie,162225.617586,162225.614792
movie,162232.617260,162232.614792
movie,162239.616671,162239.614792
movie,162246.617244,162246.614792
movie,162253.617025,162253.614792
audio,162260.616117,162260.614792
audio,162267.614988,162267.614792
audio,162274.614994,162274.614792
fix,162281.615564,162281.614792
audio,162297.647675,162297.614792
audio,162304.615269,162304.614792
audio,162311.615290,162311.614792
movie,162318.617206,162318.614792
movie,162325.616785,162325.614792
movie,162332.625313,162332.614792
movie,162339.616614,162339.614792
movie,162346.616909,162346.614792
movie,162353.616842,162353.614792
movie,162360.617562,162360.614792
movie,162367.617359,162367.614792
movie,162374.616919,162374.614792
movie,162381.617046,162381.614792
movie,162388.616536,162388.614792
movie,162395.617213,162395.614792
fix,162402.615198,162402.614792
