trial_type,onset
fix,117230.683370,117239.683370
audio,117246.727051,117246.683370
audio,117253.683903,117253.683370
audio,117260.684019,117260.683370
movie,117267.686591,117267.683370
movie,117274.685594,117274.683370
movie,117281.685618,117281.683370
movie,117288.685544,117288.683370
movie,117295.685304,117295.683370
movie,117302.685748,117302.683370
movie,117309.685650,117309.683370
movie,117316.685691,117316.683370
movie,117323.685151,117323.683370
movie,117330.685512,117330.683370
movie,117337.685601,117337.683370
movie,117344.685364,117344.683370
fix,117351.684162,117351.683370
movie,117367.798474,117367.683370
movie,117374.685574,117374.683370
movie,117381.685999,117381.683370
movie,117388.685407,117388.683370
movie,117395.685651,117395.683370
movie,117402.686023,117402.683370
movie,117409.685302,117409.683370
movie,117416.685559,117416.683370
movie,117423.685579,117423.683370
movie,117430.847842,117430.683370
movie,117437.685489,117437.683370
movie,117444.685615,117444.683370
audio,117451.683861,117451.683370
audio,117458.684010,117458.683370
audio,117465.683833,117465.683370
fix,117472.683565,117472.683370
