trial_type,onset
fix,346441.903457,346450.903457
movie,346459.385347,346457.903457
movie,346465.092419,346464.903457
movie,346471.905957,346471.903457
movie,346479.065271,346478.903457
movie,346485.905843,346485.903457
movie,346492.905662,346492.903457
movie,346499.905698,346499.903457
movie,346506.905969,346506.903457
movie,346513.905433,346513.903457
movie,346520.905925,346520.903457
movie,346527.906280,346527.903457
movie,346534.905848,346534.903457
audio,346541.904271,346541.903457
audio,346548.903715,346548.903457
audio,346555.903863,346555.903457
fix,346562.904149,346562.903457
audio,346578.935777,346578.903457
audio,346585.903744,346585.903457
audio,346592.903969,346592.903457
movie,346599.905789,346599.903457
movie,346606.905697,346606.903457
movie,346613.905889,346613.903457
movie,346620.906174,346620.903457
movie,346627.905370,346627.903457
movie,346634.905609,346634.903457
movie,346641.905965,346641.903457
movie,346648.905863,346648.903457
movie,346655.906421,346655.903457
movie,346662.905978,346662.903457
movie,346669.905455,346669.903457
movie,346676.905486,346676.903457
fix,346683.904068,346683.903457
