trial_type,onset
fix,355129.709533,355138.709533
movie,355145.827505,355145.709533
movie,355152.712158,355152.709533
movie,355159.711716,355159.709533
movie,355166.711978,355166.709533
movie,355173.712578,355173.709533
movie,355180.711789,355180.709533
audio,355187.709728,355187.709533
audio,355194.710140,355194.709533
audio,355201.710171,355201.709533
movie,355208.711630,355208.709533
movie,355215.711515,355215.709533
movie,355222.711734,355222.709533
movie,355229.711983,355229.709533
movie,355236.711544,355236.709533
movie,355243.711647,355243.709533
fix,355250.709952,355250.709533
movie,355266.809224,355266.709533
movie,355273.712066,355273.709533
movie,355280.711787,355280.709533
movie,355287.711622,355287.709533
movie,355294.711950,355294.709533
movie,355301.711554,355301.709533
audio,355308.709726,355308.709533
audio,355315.709866,355315.709533
audio,355322.709787,355322.709533
movie,355329.711807,355329.709533
movie,355336.711766,355336.709533
movie,355343.711844,355343.709533
movie,355350.711479,355350.709533
movie,355357.711626,355357.709533
movie,355364.712527,355364.709533
fix,355371.709682,355371.709533
