trial_type,onset
fix,295566.858070,295575.858070
movie,295583.250540,295582.858070
movie,295589.860486,295589.858070
movie,295596.860061,295596.858070
audio,295603.858281,295603.858070
audio,295610.858654,295610.858070
audio,295617.858512,295617.858070
movie,295624.860009,295624.858070
movie,295631.860259,295631.858070
movie,295638.859837,295638.858070
movie,295645.860546,295645.858070
movie,295652.860329,295652.858070
movie,295659.860847,295659.858070
movie,295666.860668,295666.858070
movie,295673.860465,295673.858070
movie,295680.859968,295680.858070
fix,295687.858648,295687.858070
movie,295704.241169,295703.858070
movie,295710.860213,295710.858070
movie,295717.860581,295717.858070
movie,295724.860274,295724.858070
movie,295731.860457,295731.858070
movie,295738.860210,295738.858070
movie,295745.860659,295745.858070
movie,295752.860623,295752.858070
movie,295759.860006,295759.858070
audio,295766.858706,295766.858070
audio,295773.858408,295773.858070
audio,295780.858586,295780.858070
movie,295787.860738,295787.858070
movie,295794.860477,295794.858070
movie,295801.860432,295801.858070
fix,295808.858501,295808.858070
