trial_type,onset
fix,331739.699334,331748.699334
movie,331756.101525,331755.699334
movie,331762.702304,331762.699334
movie,331769.701727,331769.699334
movie,331776.702191,331776.699334
movie,331783.702004,331783.699334
movie,331790.702001,331790.699334
movie,331797.702079,331797.699334
movie,331804.702102,331804.699334
movie,331811.702082,331811.699334
audio,331818.699997,331818.699334
audio,331825.699461,331825.699334
audio,331832.699873,331832.699334
movie,331839.702305,331839.699334
movie,331846.701636,331846.699334
movie,331853.701935,331853.699334
fix,331860.700189,331860.699334
movie,331877.075892,331876.699334
movie,331883.701191,331883.699334
movie,331890.702022,331890.699334
audio,331897.699724,331897.699334
audio,331904.699778,331904.699334
audio,331911.699861,331911.699334
movie,331918.701584,331918.699334
movie,331925.702637,331925.699334
movie,331932.702278,331932.699334
movie,331939.701981,331939.699334
movie,331946.701683,331946.699334
movie,331953.701652,331953.699334
movie,331960.702052,331960.699334
movie,331967.701320,331967.699334
movie,331974.702067,331974.699334
fix,331981.699667,331981.699334
